"DATE"	"PERMNO"	"CUSIP"	"COMPANY.NAME"	"TICKER"	"EXCHANGE"	"ZLIST"	"SHARE.CLASS"	"SIC"	"GICS"	"PRICE"	"RETURN"	"VOLUME"	"SHARES.OUT"	"MARKET.EQUITY"	"CASH.SHTINVEST"	"CURRENT.ASSETS"	"CURRENT.LIABILITIES"	"TOTAL.ASSETS"	"LTDEBT"	"PREFSTK.LIQUIDATE"	"NET.SALES"	"OPERINC.BEFOREDEP"	"DEPRECIATION.AMORTIZATION"	"INTEREST.EXPENSE"	"INCOME.BEFORE.EI"	"PREF.DIVIDENDS"	"DEFER.TAXES.INVEST.CREDIT"	"DEFER.TAXES.INCOME.AMT"	"EPS.INCLUDE.EI"	"PREFSTK.REDEMPTION"	"EPS.EXCLUDE.EI"	"COMMON.EQUITY"	"DEFER.TAXES"	"PREFSTK.CARRY"	"NET.INCOME"	"OPERINC.AFTERDEP"	"TOTAL.LIABILITIES"	"STOCKHOLDERS.EQUITY"	"CURRENT"	"QUICK"	"DtoA"	"DtoE"	"ROA"	"ROE"	"PE"	"Sector"	"Industry"
20031231	85926	"81211K10"	"SEALED AIR CORP NEW"	"SEE"	1	1	11	3081	15103020	54.13999939	0.0259617008	75718	84977	4600.6547281	365	1427.8	1190.4	4704.1	2259.8	0	3531.9	711.9	173.2	139.1	240.4	53.2	34.9	-23.4	2.21	0	2.21	1123.6	34.9	0	240.4	538.7	3580.5	1123.6	1.19942876344086	1.50604838709677	0.76114453349206	3.18663225347099	0.0511043557747497	0.213955144179423	24.497737280543	"Materials"	"Materials"
20031231	77157	"69076840"	"OWENS ILL INC"	"OI"	1	4	11	2672	15103010	11.890000343	0.0540780686	80802	147810	1757.4609507	190.2	2121.8	1363.4	9531.3	5333.1	452.5	6059	1204	501.7	473.8	-990.8	21.5	119.6	-182.6	-6.89	452.5	-6.89	550.9	119.6	452.5	-990.8	702.3	8527.9	1003.4	1.55625641777908	1.69576059850374	0.894725798159747	8.49900338847917	-0.103952241562011	-0.987442694837552	-1.72568945471698	"Materials"	"Materials"
20031231	44601	"5361110"	"AVERY DENNISON CORP"	"AVY"	1	1	11	2672	20201060	56.020000458	0.0237835627	81390	110470	6188.5294506	29.5	1440.9	1496	4105.3	887.7	0	4762.6	602.4	179.3	63.8	242.8	0	67.4	7.9	2.7	0	2.43	1318.7	67.4	0	267.9	423.1	2786.6	1318.7	0.963168449197861	0.982887700534759	0.678781087862032	2.11314173049215	0.0652571066669914	0.203154621976189	23.0534981308642	"Industrials"	"Commercial & Professional Services"
20031231	43772	"8143710"	"BEMIS CO INC"	"BMS"	1	1	11	2641	15103020	50	0.0989011005	38807	53120	2656	76.476	751.906	315.586	2292.932	583.399	0	2635.018	391.227	128.189	12.564	147.145	0	150.312	27.195	2.78	0	2.78	1138.733	150.312	0	147.145	263.038	1154.199	1138.733	2.38257083647564	2.6249009778634	0.503372537868546	1.01358176148404	0.0641732942799874	0.12921817493653	17.9856115107914	"Materials"	"Materials"
20031231	27422	"18589610"	"CLEVELAND CLIFFS INC"	"CLF"	1	4	11	1011	15104050	50.950000763	0.319948256	61459	10318	525.70210787	67.8	313.3	225.9	895.2	0	0	835.7	-0.3	26.7	4.6	-34.9	0	34.5	0.5	-3.19	0	-3.4	228.1	34.5	0	-32.7	-27	667.1	228.1	1.38689685701638	1.68702965914121	0.745196604110813	2.92459447610697	-0.0365281501340483	-0.143358176238492	-14.9852943420588	"Materials"	"Materials"
20031231	43123	"01741R10"	"ALLEGHENY TECHNOLOGIES"	"ATI"	1	1	11	3312	15104050	13.220000267	0.6121951938	155679	80700	1066.8540215	79.6	743.3	394.7	1884.9	504.3	0	1937.4	-85.7	69.4	33.9	-313.3	0	0	64.3	-3.89	0	-3.87	174.7	0	0	-314.6	-155.1	1710.2	174.7	1.88320243222701	2.08487458829491	0.9073160379861	9.78935317687464	-0.166905406122341	-1.80080137378363	-3.41602074082687	"Materials"	"Materials"
20031231	76644	"91290910"	"UNITED STATES STEEL CORP NEW"	"X"	1	1	11	3312	15104050	35.020000458	0.4092555344	695463	103277	3616.7605873	316	3107	2130	7838	1890	250	9328	211	363	161	-406	16	6	-445	-4.64	250	-4.09	867	6	226	-463	-152	6745	1093	1.45868544600939	1.60704225352113	0.860551161010462	6.17108874656908	-0.059071191630518	-0.423604757548033	-8.5623473002445	"Materials"	"Materials"
20031231	10107	"59491810"	"MICROSOFT CORP"	"MSFT"	3	21	11	7370	45103020	27.370000839	0.0645663887	15070270	10789000	295294.93905	49048	58973	13974	79571	0	0	32187	15313	1090	0	9993	0	1731	64	0.93	0	0.93	61020	1731	0	9993	14223	18551	61020	4.22019464720195	7.73014169171318	0.23313770092119	0.304015077023927	0.125585954681982	0.163765978367748	29.4301084290323	"Information Technology"	"Software & Services"
20031231	12490	"45920010"	"INTERNATIONAL BUSINESS MACHS COR"	"IBM"	1	1	11	3571	45202010	92.680000305	0.0236359555	1160672	1720423	159448.80417	7647	44998	37900	104457	16986	0	89131	14059	3961	160	7613	0	1834	1126	4.4	0	4.42	27864	1834	0	7583	10098	76593	27864	1.18728232189974	1.38905013192612	0.733249088141532	2.74881567614126	0.072594464707966	0.272143267298306	20.9683258608597	"Information Technology"	"Technology Hardware & Equipment"
20031231	10401	"195750"	"A T & T CORP"	"T"	1	1	11	4813	50101020	20.299999237	0.0356782302	1085354	789873	16034.421297	4353	9848	8883	47988	13066	0	34529	8728	4870	1158	1863	0	5395	1402	2.37	0	2.37	13956	5395	0	1865	3858	34032	13956	1.1086344703366	1.59867161994822	0.709177294323581	2.43852106620808	0.038863882637326	0.133634279163084	8.56540052194093	"Telecommunication Services"	"Telecommunication Services"
20031231	65875	"92343V10"	"VERIZON COMMUNICATIONS"	"VZ"	1	1	11	4813	50101020	35.080001831	0.0682095513	1739254	2761550	96875.179057	2871	18293	26570	165968	39413	0	67752	27289	13617	2941	3509	0	21708	836	1.12	0	1.27	33466	21708	0	3077	13672	132502	33466	0.688483251787731	0.796537448249906	0.798358719753205	3.95930197812705	0.0185397184999518	0.0919440626307297	27.6220486858268	"Telecommunication Services"	"Telecommunication Services"
20031231	76076	"17275R10"	"CISCO SYSTEMS INC"	"CSCO"	3	21	11	3674	45201020	24.229999542	0.067400828	9658618	6903338	167267.87658	8485	13415	8294	37107	0	0	18878	6517	1591	0	3578	0	0	-14	0.5	0	0.5	28029	0	0	3578	4926	9078	28029	1.61743428984808	2.64046298529057	0.244643867733851	0.323878839773092	0.0964238553372679	0.127653501730351	48.459999084	"Information Technology"	"Technology Hardware & Equipment"
20031231	10104	"68389X10"	"ORACLE CORP"	"ORCL"	3	21	11	7370	45103020	13.229999542	0.1006654799	9754830	5227587	69160.973617	6519	9227	4158	11064	175	0	9475	3767	327	16	2307	0	186	90	0.44	0	0.44	6320	186	0	2307	3440	4744	6320	2.21909571909572	3.78691678691679	0.428778018799711	0.750632911392405	0.20851409978308	0.36503164556962	30.0681807772727	"Information Technology"	"Software & Services"
20031231	77178	"74752510"	"QUALCOMM INC"	"QCOM"	3	21	11	3660	45201020	53.930000305	0.2105499655	2221958	802525	43280.173495	4561.097	5948.764	808.202	8822.436	123.302	0	3970.636	1673.076	194.258	30.709	827.441	0	0	60.403	1.05	0	1.05	7598.572	0	0	827.441	1478.818	1223.864	7598.572	7.36049156027825	13.0040027121932	0.138721777069281	0.161065000107915	0.0937882689089499	0.108894276450891	51.3619050523809	"Information Technology"	"Technology Hardware & Equipment"
20031231	59328	"45814010"	"INTEL CORP"	"INTC"	3	21	11	3679	45301020	32.049999237	-0.044424616	11031608	6487000	207908.34505	16164	22882	6879	47143	936	0	30141	13152	4972	62	5641	0	1482	391	0.86	0	0.86	37846	1482	0	5641	8180	9297	37846	3.32635557493822	5.67611571449339	0.197208493307596	0.2456534376156	0.11965721315996	0.149051418908207	37.2674409732558	"Information Technology"	"Semiconductors & Semiconductor Equipment"
20031231	10147	"26864810"	"E M C CORP MA"	"EMC"	1	1	11	3572	45202020	12.920000076	-0.060363632	3184167	2405691	31081.527904	2797.674	4687.304	2546.529	14092.86	132.634	0	6236.808	858.424	391	3.03	496.108	0	0	-19.068	0.22	0	0.22	10884.721	0	0	496.108	467.424	3208.139	10884.721	1.84066389976317	2.93928637765366	0.227642863123596	0.29473782561813	0.0352027906329872	0.0455783845998441	58.7272730727273	"Information Technology"	"Technology Hardware & Equipment"
20031231	15579	"88250810"	"TEXAS INSTRUMENTS INC"	"TXN"	1	1	11	3674	45301020	29.379999161	-0.012768853	2533994	1730625	50845.761048	4329	7709	2200	15510	395	0	9834	2634	1528	41	1198	0	59	75	0.69	0	0.69	11864	59	0	1198	1106	3646	11864	3.50409090909091	5.47181818181818	0.235074145712444	0.307316250842886	0.0772404900064474	0.100977747808496	42.5797089289855	"Information Technology"	"Semiconductors & Semiconductor Equipment"
20031231	44644	"5301510"	"AUTOMATIC DATA PROCESSING INC"	"ADP"	1	1	11	7374	45102020	39.61000061	0.0397593789	408511	594438	23545.689543	2005.384	3675.501	1998.783	19833.671	84.674	0	7147.017	1792.753	274.682	21.838	1018.15	0	320.796	-15.775	1.7	0	1.7	5371.473	320.796	0	1018.15	1518.071	14462.198	5371.473	1.83886945206158	2.84217196163866	0.729174039440303	2.6924082090704	0.0513344201383597	0.189547634326748	23.3000003588235	"Information Technology"	"Software & Services"
20031231	83435	"98433210"	"YAHOO INC"	"YHOO"	3	21	11	7375	45101010	45.029998779	0.0474528261	1986661	660704	29751.500313	1309.517	1721.709	707.796	5931.654	750	0	1625.097	607.937	159.688	0	237.879	0	72.374	-14.907	0.39	0	0.39	4363.49	72.374	0	237.879	448.249	1568.164	4363.49	2.43249326077005	4.28262663253254	0.264372129594882	0.359382970970485	0.0401033168826098	0.0545157660496529	115.461535330769	"Information Technology"	"Software & Services"
20031231	86158	"19244610"	"COGNIZANT TECH SOLS CORP"	"CTSH"	3	25	11	7370	45102010	45.63999939	-0.005014161	249591	64337	2936.3406407	194.221	278.497	62.636	360.589	0	0	368.231	84.248	11.936	0	57.365	0	23.883	4.234	0.92	0	0.92	274.07	23.883	0	57.365	72.312	86.519	274.07	4.44627690146242	7.54706558528642	0.239937990343577	0.315682125004561	0.159086938314813	0.209307841062502	49.6086949891304	"Information Technology"	"Software & Services"
20031231	75510	"00724F10"	"ADOBE SYSTEMS INC"	"ADBE"	3	21	11	7370	45103020	39.080001831	-0.053982075	818104	238300	9312.7644363	1096.533	1329.028	436.53	1555.045	0	0	1294.749	427.917	49.014	0	266.344	0	17.715	31.057	1.14	0	1.14	1100.8	17.715	0	266.344	378.903	454.245	1100.8	3.04452844019884	5.5564588917142	0.29211051770206	0.412649890988372	0.171277358533033	0.241954941860465	34.2807033605263	"Information Technology"	"Software & Services"
